pp_id,stim_id,length,int_tempo,stim_onsets,resp_ITIs
59,1,5,400,"[0.0, 461.5183246073298, 781.675392670157, 1046.8586387434552, 1500.5235602094237]","[323.181818181818, 376.3636363636365, 227.0454545454545, 341.59090909090924]"
59,2,4,600,"[0.0, 720.6293706293707, 1206.993006993007, 1836.7132867132866]","[450.0000000000001, 492.95454545454527, 456.13636363636374, 325.2272727272725]"
59,3,4,400,"[0.0, 594.0559440559441, 1083.2167832167834, 1568.8811188811192]","[460.22727272727263, 490.909090909091, 458.181818181818]"
59,4,4,600,"[0.0, 570.2797202797203, 1388.811188811189, 1759.79020979021]","[478.63636363636374, 646.3636363636363, 298.6363636363635]"
59,5,5,400,"[0.0, 325.3926701570681, 734.5549738219895, 1138.4816753926702, 1636.6492146596859]","[274.0909090909091, 484.77272727272725, 388.63636363636374, 413.181818181818]"
59,6,5,600,"[0.0, 410.20942408376965, 867.5392670157069, 1327.4869109947645, 1989.0052356020942]","[282.27272727272725, 452.0454545454545, 407.0454545454545, 419.31818181818176]"
59,7,4,400,"[0.0, 419.2307692307692, 796.5034965034965, 1037.4125874125875]","[339.54545454545473, 435.681818181818, 198.409090909091]"
59,8,4,600,"[0.0, 381.46853146853147, 1000.6993006993007, 1644.4055944055945]","[249.5454545454545, 548.1818181818182, 542.0454545454543]"
59,9,5,400,"[0.0, 299.21465968586386, 485.86387434554973, 1065.1832460732983, 1414.13612565445]","[267.9545454545455, 173.86363636363626, 402.9545454545455, 323.18181818181824]"
59,10,4,600,"[0.0, 419.9300699300699, 983.2167832167831, 1822.7272727272727]","[362.0454545454544, 632.0454545454547, 580.909090909091]"
59,11,5,400,"[0.0, 613.3507853403141, 847.1204188481676, 1494.502617801047, 1709.9476439790576]","[587.0454545454547, 188.18181818181824, 564.5454545454545, 188.18181818181802]"
59,12,4,600,"[0.0, 440.9090909090909, 1186.0139860139861, 1861.1888111888113]","[513.4090909090908, 644.3181818181818, 720.0]"
59,13,5,400,"[0.0, 170.94240837696336, 462.30366492146595, 617.5392670157069, 992.6701570680628]","[157.5, 390.68181818181824, 165.68181818181824, 341.590909090909]"
59,14,5,600,"[0.0, 415.4450261780105, 857.0680628272252, 1371.9895287958116, 1915.7068062827225]","[353.8636363636364, 374.31818181818176, 441.818181818182, 411.1363636363635]"
59,15,4,400,"[0.0, 527.6223776223776, 1090.2097902097903, 1369.5804195804196]","[374.31818181818176, 476.590909090909, 198.409090909091]"
59,16,4,600,"[0.0, 524.8251748251748, 1322.3776223776224, 2151.3986013986014]","[499.0909090909091, 687.2727272727273, 752.7272727272725]"
59,17,5,400,"[0.0, 529.5811518324607, 1135.0785340314137, 1593.9790575916231, 2154.973821989529]","[456.1363636363635, 554.3181818181818, 505.227272727273, 443.8636363636365]"
59,18,4,600,"[0.0, 552.7972027972028, 1238.4615384615386, 2032.5174825174827]","[419.31818181818187, 754.7727272727273, 779.318181818182]"
59,19,4,400,"[0.0, 471.6783216783217, 883.916083916084, 1037.4125874125875]","[380.4545454545455, 405.0, 157.5]"
59,20,4,600,"[0.0, 500.34965034965035, 1280.4195804195804, 1791.2587412587413]","[392.72727272727275, 609.5454545454545, 566.590909090909]"
59,21,4,400,"[0.0, 401.74825174825173, 583.2167832167831, 1135.3146853146852]","[384.5454545454545, 159.5454545454545, 456.1363636363635]"
59,22,5,600,"[0.0, 826.4397905759163, 1223.560209424084, 1835.340314136126, 2449.7382198952882]","[509.31818181818187, 321.1363636363635, 507.2727272727275, 450.0]"
59,23,4,400,"[0.0, 359.7902097902098, 894.4055944055945, 1159.7902097902097]","[396.818181818182, 542.0454545454543, 208.63636363636397]"
59,24,5,600,"[0.0, 368.32460732984293, 935.6020942408377, 1670.4188481675392, 2460.2094240837696]","[454.090909090909, 711.818181818182, 384.5454545454545, 501.1363636363635]"
59,25,5,400,"[0.0, 207.5916230366492, 551.3089005235602, 1083.5078534031413, 1733.5078534031413]","[214.77272727272725, 435.68181818181824, 642.2727272727275]"
59,26,4,600,"[0.0, 703.1468531468531, 1437.7622377622379, 2109.44055944056]","[525.6818181818181, 765.0, 593.181818181818]"
59,27,5,400,"[0.0, 474.6073298429319, 1051.3089005235602, 1523.2984293193717, 1914.1361256544503]","[366.1363636363636, 593.1818181818182, 447.95454545454527, 321.13636363636397]"
59,28,4,600,"[0.0, 447.9020979020979, 899.3006993006993, 1371.6783216783217]","[345.68181818181813, 454.09090909090924, 333.40909090909076]"
59,29,5,400,"[0.0, 626.4397905759163, 1237.17277486911, 1785.0785340314137, 2228.2722513089006]","[386.5909090909091, 533.8636363636363, 468.409090909091, 376.36363636363626]"
59,30,5,600,"[0.0, 504.4502617801047, 1346.5968586387435, 2165.1832460732985, 2871.2041884816754]","[300.68181818181813, 572.7272727272727, 523.6363636363635, 509.318181818182]"
59,31,4,400,"[0.0, 167.4825174825175, 443.35664335664336, 764.6853146853148]","[167.72727272727275, 263.8636363636365, 290.4545454545455]"
59,32,5,600,"[0.0, 729.5811518324607, 1192.1465968586388, 1832.7225130890051, 2198.4293193717276]","[421.3636363636364, 677.0454545454545, 224.99999999999977]"
59,33,4,400,"[0.0, 608.0419580419581, 1044.7552447552448, 1355.5944055944055]","[523.6363636363635, 337.5, 284.31818181818176]"
